,name,business_status,rating,user_ratings_total,formatted_address,vicinity,formatted_phone_number,website,opening_hours.open_now,types,price_level,icon,place_id,id,reference,icon
0,Bassett House Inn,OPERATIONAL,3.2,5.0,"128 Montauk Hwy, East Hampton, NY 11937, USA","128 Montauk Highway, East Hampton",(631) 324-6127,http://www.bassetthouseinn.com/,False,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJD1EO1Jm76IkRPhGcVqI4VS8,91b57adfc72b20658f6fae8b677f907d2ea5959a,ChIJD1EO1Jm76IkRPhGcVqI4VS8,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
1,Capri Hotel Southampton,OPERATIONAL,3.4,73.0,"281 County Road 39A, Southampton, NY 11968, USA","281 County Road 39A, Southampton",(631) 504-6575,http://caprisouthampton.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJkatUJOWU6IkRScBd7UBY1nc,a8c50d056c4e7ee43bc97c5573054004aaeb8f6f,ChIJkatUJOWU6IkRScBd7UBY1nc,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
2,Cozy Cabins Motel,OPERATIONAL,3.4,5.0,"395 Montauk Hwy, Wainscott, NY 11975, USA","395 Montauk Highway, Wainscott",(631) 537-1160,http://www.thecozycottages.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJbUH3-RK86IkRIWHY7pU7xLk,3c2f686f40cf72bf3336adf2624f2415ffe57e38,ChIJbUH3-RK86IkRIWHY7pU7xLk,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
3,Wainscott Inn,OPERATIONAL,3.6,25.0,"3720 Montauk Hwy, Wainscott, NY 11975, USA","3720 Montauk Highway, Wainscott",(631) 537-0878,http://www.wainscottinn.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJfViimxW86IkRY1V6OYXmNXY,f45b7886fd285e3cbb0c59ec3ebab297bddb54cd,ChIJfViimxW86IkRY1V6OYXmNXY,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
4,West Neck Guesthouse,OPERATIONAL,4.0,7.0,"31 W Neck Rd, Shelter Island Heights, NY 11965, USA","31 West Neck Road, Shelter Island Heights",(631) 599-3430,https://westneckhouse.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJv4qrw-yY6IkRPcCL5OwXbBU,a00cde546f34a48e615cfe3b8319fa2382104cc2,ChIJv4qrw-yY6IkRPcCL5OwXbBU,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
5,380 Inn,OPERATIONAL,4.0,49.0,"380 Montauk Hwy, Wainscott, NY 11975, USA","380 Montauk Highway, Wainscott",(631) 527-7000,http://www.380inn.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJSX4JLxO86IkRSAKIxHOqink,e07acfb87d8d55ff350ebf171de5af6351494666,ChIJSX4JLxO86IkRSAKIxHOqink,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
6,East Hampton Village Bed & Breakfast,OPERATIONAL,4.0,2.0,"172 Newtown Ln, East Hampton, NY 11937, USA","172 Newtown Lane, East Hampton",(631) 324-1858,http://www.easthamptonvillagebandb.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJnTkZ6gS76IkRuk3b4ImyWO4,2872adac2b4c715104a1b1b19be646ab90f6aa52,ChIJnTkZ6gS76IkRuk3b4ImyWO4,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
7,Ocean Dunes Apartments,OPERATIONAL,4.0,15.0,"379 Bluff Rd, Amagansett, NY 11930, USA","379 Bluff Road, Amagansett",(631) 267-8121,http://oceandunesamagansett.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJYT0eonSw6IkR-RZMAdcOuMw,090c6f0518e2f7df6c3b7dfeab1ddffbb80567d9,ChIJYT0eonSw6IkR-RZMAdcOuMw,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
8,Southampton Long Island Hotel - Your Southampton Escape,OPERATIONAL,4.1,68.0,"5207, 450 County Rd 39, Southampton, NY 11968, USA","5207, 450 County Road 39, Southampton",(631) 283-2548,http://www.hotelofsouthampton.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJqzGch5eU6IkR9oyq-18P2JU,d6ca04d268da446e3f1642ebc3a4931bee954766,ChIJqzGch5eU6IkR9oyq-18P2JU,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
9,East Hampton Point,OPERATIONAL,4.1,67.0,"295 Three Mile Harbor Hog Creek Rd, East Hampton, NY 11937, USA","295 Three Mile Harbor Hog Creek Road, East Hampton",(631) 324-9191,http://www.easthamptonpoint.com/,True,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJ42KsDhql6IkRbs8pqdMjx5k,d415222f9976af6cd09c4af0d9eb15a624362f8a,ChIJ42KsDhql6IkRbs8pqdMjx5k,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
10,Southampton Inn,OPERATIONAL,4.1,131.0,"91 Hill St, Southampton, NY 11968, USA","91 Hill Street, Southampton",(631) 283-6500,http://www.southamptoninn.com/,,"['lodging', 'point_of_interest', 'establishment']",2.0,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJjx8hMMSU6IkRIKmTdde0HRw,edc8567ab56faf5f57a5b6e2678c11cd566215cf,ChIJjx8hMMSU6IkRIKmTdde0HRw,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
11,East Hampton House Resort,OPERATIONAL,4.1,108.0,"226 Pantigo Rd, East Hampton, NY 11937, USA","226 Pantigo Road, East Hampton",(631) 324-4300,http://www.easthamptonhouseresort.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJu3qgWey66IkRhBC42DxMXVc,a6d65e2311bc588df699d0d8ff184beb74102067,ChIJu3qgWey66IkRhBC42DxMXVc,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
12,Baron's Cove,OPERATIONAL,4.2,367.0,"31 W Water St, Sag Harbor, NY 11963, USA","31 West Water Street, Sag Harbor",(844) 227-6672,https://www.caperesorts.com/barons-cove,True,"['night_club', 'lodging', 'bar', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJPzf_5Tu96IkROBZwf-3KbyE,37f25491bcfc2baa112c329b79fc734784a2acfb,ChIJPzf_5Tu96IkROBZwf-3KbyE,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
13,East Hampton Art House Bed & Breakfast,OPERATIONAL,4.2,24.0,"9 Bon Pinck Way, East Hampton, NY 11937, USA","9 Bon Pinck Way, East Hampton",(631) 907-4645,http://www.easthampton-arthouse-bedandbreakfast.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJjesTaeul6IkRGvWPRE69LZ8,68c320010bc7253a916a4003a82c70bf929c7c88,ChIJjesTaeul6IkRGvWPRE69LZ8,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
14,Topping Rose House,OPERATIONAL,4.3,201.0,"1 Bridgehampton-Sag Harbor Turnpike, Bridgehampton, NY 11932, USA","1 Bridgehampton-Sag Harbor Turnpike, Bridgehampton",(631) 537-0870,http://www.toppingrosehouse.com/,True,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJc-QCIdm96IkRL0OB-VmHlQ4,2a34311bb8a1cd2179e414ee963405aeea534f93,ChIJc-QCIdm96IkRL0OB-VmHlQ4,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
15,Bridgehampton Inn & Restaurant,OPERATIONAL,4.3,44.0,"2266 Main St, Bridgehampton, NY 11932, USA","2266 Main Street, Bridgehampton",(631) 537-3660,http://www.bridgehamptoninn.com/,True,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJswBzfd-96IkRceVZqYR2SFs,9c8e8cb7c60aaf4f4dc1d0217b1a4e3ef5a696ff,ChIJswBzfd-96IkRceVZqYR2SFs,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
16,Harborwoods Guesthouse,OPERATIONAL,4.3,3.0,"1702 Bridgehampton-Sag Harbor Turnpike, Sag Harbor, NY 11963, USA","1702 Bridgehampton-Sag Harbor Turnpike, Sag Harbor",(516) 818-1186,http://www.harborwoodsguesthouse.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJNZ4J1w296IkRVUJsxOpNmso,50ae79f8d675c792e7168cae534ba16672d09439,ChIJNZ4J1w296IkRVUJsxOpNmso,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
17,The Maidstone,OPERATIONAL,4.3,120.0,"207 Main St, East Hampton, NY 11937, USA","207 Main Street, East Hampton",(631) 324-5006,http://www.themaidstone.com/,True,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJdYj2tau76IkRonrAOMKsdp4,c3d1b5b9a22cbd7fa2cacd38ca355d00f993dfce,ChIJdYj2tau76IkRonrAOMKsdp4,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
18,The Mainstay,OPERATIONAL,4.3,15.0,"579 Hill St, Southampton, NY 11968, USA","579 Hill Street, Southampton",(631) 283-4375,http://www.themainstay.com,True,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJFz3yAbCU6IkRyBqzd9Bf1Rk,3695742c20f37d6c896759bb2bf09e317d212713,ChIJFz3yAbCU6IkRyBqzd9Bf1Rk,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
19,Shelter Island House,OPERATIONAL,4.4,50.0,"11 Stearns Point Rd, Shelter Island Heights, NY 11965, USA","11 Stearns Point Road, Shelter Island Heights",(631) 749-1633,https://www.shelterislandhouse.com/,True,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJp8cw4-2Y6IkR7iWhs7oNVEI,dfc84c825cf96a6e2ba75138022cd2344ba07c6e,ChIJp8cw4-2Y6IkR7iWhs7oNVEI,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
20,Sag Harbor Inn,OPERATIONAL,4.4,51.0,"45 W Water St, Sag Harbor, NY 11963, USA","45 West Water Street, Sag Harbor",(631) 725-2949,https://www.sagharborinn.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJ8X2YWjm96IkRxYXHB4_a3g4,220f4c346ff4e3dfc0c7a2fdc0fcda8923b74297,ChIJ8X2YWjm96IkRxYXHB4_a3g4,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
21,A Walk in the Woods Bed and Breakfast,OPERATIONAL,4.4,19.0,"9680 N Bayview Rd, Southold, NY 11971, USA","9680 North Bayview Road, Southold",(631) 765-9197,http://www.walkinthewoodsbnb.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJP-lqbMOZ6IkRamB_qfsRSqg,bfb0563d3d3da6f98fbcd1da2c7e439398996759,ChIJP-lqbMOZ6IkRamB_qfsRSqg,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
22,Mill House Inn,OPERATIONAL,4.4,42.0,"31 N Main St, East Hampton, NY 11937, USA","31 North Main Street, East Hampton",(631) 324-9766,http://www.millhouseinn.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJCXyjtPy66IkR0tJwjM3VxmQ,87e910286777c765f9a9eba4daedfebe44339880,ChIJCXyjtPy66IkR0tJwjM3VxmQ,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
23,Ram's Head Inn,OPERATIONAL,4.5,93.0,"108 S Ram Island Dr, Shelter Island Heights, NY 11965, USA","108 South Ram Island Drive, Shelter Island Heights",(631) 749-0811,http://www.theramsheadinn.com/,True,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.0,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJT6GSZzCi6IkR6Jx6b4DUpNs,147e2ccd88094b13b80c02a43cc5df0489bb7c56,ChIJT6GSZzCi6IkR6Jx6b4DUpNs,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
24,East Hampton,OPERATIONAL,4.5,31.0,"105 Oakview Hwy, East Hampton, NY 11937, USA","105 Oakview Highway, East Hampton",(631) 324-1643,https://bayshorehomesales.com/,,"['rv_park', 'lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJYX9NAiC76IkReXMG82GUGwE,351c2cb9d4278e9d90290a55ea9c9a57192ef969,ChIJYX9NAiC76IkReXMG82GUGwE,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
25,A Room at the Beach,OPERATIONAL,4.6,22.0,"2668 Montauk Hwy, Bridgehampton, NY 11932, USA","2668 Montauk Highway, Bridgehampton",(631) 899-4006,http://iwantaroomatthebeach.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJrVd2w1e96IkRpXrhJRE3bkM,f619fc26d7506bd981c3413c5043a8193ec80182,ChIJrVd2w1e96IkRpXrhJRE3bkM,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
26,American Hotel,OPERATIONAL,4.6,225.0,"45 Main St #3012, Sag Harbor, NY 11963, USA","45 Main Street #3012, Sag Harbor",(631) 725-3535,http://www.theamericanhotel.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJbf5hKSW96IkRGXfe61M1hAU,b2c97091979f7e1ee5fd618b6dbbde256daca11c,ChIJbf5hKSW96IkRGXfe61M1hAU,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
27,The Huntting Inn,OPERATIONAL,4.6,190.0,"94 Main St Suite 1800, East Hampton, NY 11937, USA","94 Main Street Suite 1800, East Hampton",(631) 324-0411,https://thepalm.com/restaurants/east-hampton/,True,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJnSNZ3_266IkRPmxhCT3swAk,d4371c42e0f91364324ef3d5519b8e4507720035,ChIJnSNZ3_266IkRPmxhCT3swAk,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
